Name,Altitude,Latitude,Longitude,Manager,BaseSize,Pavement,Shape
OSPEDALE VITTORIO EMANUELE II,165 m,N 37° 40' 31",E 12° 47' 48",MIARELLI Alessandro,30 m,Calcestruzzo,Quadrata
P.O. Trigona,184 m,N 36° 54' 16",E 15° 4' 13",MALLIA Salvatore,27 m,Calcestruzzo,Rettangolare
Panarea,23 m,N 38° 37' 49",E 15° 4' 14",MANZO Ciro,27 m,Bitume,Circolare
Pasquale Giorgio,6 m,N 38° 12' 45",E 15° 19' 38",VIELMO Lorenzo,21 m,Calcestruzzo,Circolare
Portopalo di Capo Passero,16 m,N 36° 40' 31",E 15° 7' 45",MALLIA Salvatore,26 m,Bitume,Quadrata
Presidio Ospedaliero S.S. Salvatore,907 m,N 37° 55' 40",E 14° 21' 25",MALLIA Salvatore,26 m,Calcestruzzo,Circolare
Presidio Ospedaliero Umberto I di Enna,689 m,N 37° 33' 19",E 14° 18' 5",MIARELLI Alessandro,26 m,Calcestruzzo,Circolare
PROVINCIA REGIONALE DI CALTANISSETTA,835 m,N 37° 35' 13",E 13° 44' 43",MALLIA Salvatore,25 m,Calcestruzzo,Quadrata
Randazzo,810 m,N 37° 52' 4",E 14° 56' 52",MALLIA Salvatore,23.30 m,Calcestruzzo,Quadrata
Roccalumera,145 m,N 37° 58' 41",E 15° 23' 6",Di Pietro Nicola,20 m,Calcestruzzo,Quadrata
Salina,128 m,N 38° 34' 47",E 14° 49' 40",MANZO Ciro,26 m,Bitume,Quadrata
SAN GIOVANNI GEMINI,649 m,N 37° 37' 56",E 13° 38' 38",MALLIA Salvatore,19.50 m,Calcestruzzo,Rettangolare
Sant'Antonio Abate,55 m,N 38° 1' 43",E 12° 33' 9",MIARELLI Alessandro,25 m,Calcestruzzo,Quadrata
Stromboli,2 m,N 38° 47' 58",E 15° 14' 25",MANZO Ciro,26 m,Calcestruzzo,Circolare
Tortorici,482 m,N 38° 3' 7",E 14° 48' 44",MALLIA Salvatore,26 m,Calcestruzzo,Circolare
Verdura Resort,27 m,N 37° 28' 50",E 13° 12' 4.85",MALLIA Salvatore,25 m,Erbosa,Circolare
Vulcanello,24 m,N 38° 25' 41",E 14° 57' 20",MANZO Ciro,26 m,Calcestruzzo,Quadrata
