LEV,CUNEO/Levaldigi,ILS RWY 21,A
LEV,LEVALDIGI,L,A
LIN,LINATE,DVOR/DME,A
LMT,LAMEZIA TERME,DVOR/DME,A
LPD,LAMPEDUSA,DVOR/DME,A
MLP,MILANO/Malpensa,DME,A
MLP,MILANO/Malpensa,ILS RWY 35R,A
MMP,MALPENSA,VOR/DME,AE
MNL,AMENDOLA,TACAN,E
NAP,NAPOLI/Capodichino,DME,A
NOV,NOVARA,DME,A
NPC,NAPOLI/Capodichino,DME,A
NPC,NAPOLI/Capodichino,ILS RWY 06,A
OST,OSTIA,VOR/DME,AE
OZE,BOLZANO,VOR/DME,AE
PAL,PALERMO/Punta Raisi,VOR/DME,AE
PAN,PANTELLERIA,VOR/DME,AE
PES,PESCARA,VOR/DME,AE
PIA,PIACENZA,TACAN,E
PIN,PISA,TACAN,AE
PIS,PISA,DVOR/DME,AE
PIS,PISA,L,AE
PNZ,PONZA,VORTAC,AE
PRS,PUNTA RAISI,TVOR/DME,A
PRT,PERETOLA,VOR/DME,AE
PRU,PERUGIA,DVOR/DME,A
PSS,PISA/S.Giusto,DME,A
PSS,PISA/S.Giusto,ILS RWY 04R,A
PTC,PONTECAGNANO,NDB,A
PTC,PONTECAGNANO,VOR/DME,A
RAI,PALERMO/Punta Raisi,DME-P,A
RAI,PALERMO/Punta Raisi,ILS RWY 25,A
RCA,REGGIO CALABRIA,DVOR/DME,AE
RCH,RONCHI DEI LEGIONARI,TVOR/DME,AE
REG,REGGIO CALABRIA,DME,A
REG,REGGIO CALABRIA,LOC RWY 33,A
RIM,RIMINI,VORTAC,AE
RIV,RIVOLTO,NDB,E
RIV,RIVOLTO,TACAN,E
RMC,ROMA,VOR/DME,AE
RNC,TRIESTE/Ronchi dei Legionari,DME,A
RNC,TRIESTE/Ronchi dei Legionari,ILS RWY 09,A
RON,RONCHI DEI LEGIONARI,L,AE
SCS,AOSTA,VOR/DME,A
SES,SESTRI,VOR/DME,A
SIG,SIGONELLA,NDB,E
SIG,SIGONELLA,TACAN,E
SME,SMERALDA,DVOR/DME,A
SOR,SORRENTO,DVOR/DME,AE
SRN,SARONNO,NDB,AE
SRN,SARONNO,VOR/DME,AE
SVC,COMAGNE,NDB,A
TAG,TARANTO,VOR/DME,A
TAQ,TARQUINIA,VOR/DME,AE
TEA,TEANO,VOR/DME,AE
TES,TESSERA,VOR/DME,A
TEV,TREVISO,DME,A
TNT,TRENTO,VOR/DME,AE
TOP,TORINO,VOR/DME,AE
TPR,PRATICA DI MARE,TACAN,E
TRA,TRAPANI/Birgi,DME-P,A
TRA,TRAPANI/Birgi,ILS RWY 31L,A
TRE,TREVISO/S.Angelo,ILS RWY 07,A
TRP,TRAPANI,NDB,AE
TRP,TRAPANI,VORTAC,AE
TVS,TREVISO,VOR/DME,A
TZO,TREZZO,NDB,AE
TZO,TREZZO,VOR/DME,AE
URB,URBE,NDB,A
VIC,VICENZA,VOR/DME,AE
VIE,VIESTE,VOR/DME,AE
VIL,VILLAFRANCA,VORTAC,AE
VOG,VOGHERA,VOR/DME,AE
VTS,VENEZIA/Tessera,DME,A
VTS,VENEZIA/Tessera,ILS RWY 04R,A
