Name,Altitude,Latitude,Longitude,Manager,BaseSize,Pavement,Shape
LA REGINA,730.0 m,N 40° 1' 6",E 15° 53' 28",Piermaico La Regina,22.50 m,Calcestruzzo,Circolare
Lauria,271.0 m,N 45° 3' 23",E 15° 50' 43",Andriulli Alessandro,22 m,Calcestruzzo,Circolare
OSPEDALE MADONNA DELLE GRAZIE,442.0 m,N 40° 39' 11",E 16° 36' 50",PUCILLO Roberto,35 m,Calcestruzzo,Quadrata
OSPEDALE SAN CARLO,757.0 m,N 40° 39' 10",E 15° 48' 14",PUCILLO Roberto,30 m,Calcestruzzo,Circolare
POLICORO,40.0 m,N 40° 12' 52",E 16° 40' 11",Andriulli Alessandro,22 m,Calcestruzzo,Circolare
Presidio Ospedaliero di Chiaromonte,684.0 m,N 40° 7' 23",E 16° 12' 59",Andriulli Alessandro,22 m,Calcestruzzo,Quadrata
