Name,Altitude,Latitude,Longitude,Manager,BaseSize,Pavement,Shape
Cirò Marina,8.0 m,N 39° 21' 7",E 17° 6' 36",MANZO Ciro,30 m,Calcestruzzo,Quadrata
COSENZA,213.0 m,N 39° 18' 25",E 16° 15' 48",LUCCIONI Enzo,25 m,Bitume,Quadrata
Flavio Scutellà,232.0 m,N 38° 24' 37",E 16° 4' 32",Michele Tripodi,35.00 m,Calcestruzzo,Circolare
LOCRI,50.0 m,N 38° 14' 11",E 16° 14' 37",LUCCIONI Enzo,50.0 m,Bitume,Quadrata
Mercurio,5.0 m,N 38° 27' 58",E 15° 55' 42",Sorrenti Angelo Maria,26 m,Bitume,Quadrata
San Michele,88 m,N 39° 45' 28",E 15° 50' 20",ORTOLANI Alberto,20.00 m,Erbosa,Circolare
