ID,Name,Type&Runway,Purpose,Freq,OperationalHours,Latitude,Longitude,ICAO
IBZ,BOLZANO,LOC RWY 01,A,109.10MHZ,H24,46°27'20.5"N,011°19'41.5"E,LIPB
ILMA,LAMPEDUSA,LOC RWY 26,A,111.30MHZ,H24,35°29'47.1"N,012°36'24.0"E,LICD
LBN,ALBENGA/Riviera Airport,LOC RWY 27,A,108.90MHZ,H24,44°02'56.9"N,008°07'11.8"E,LIMG
REG,REGGIO CALABRIA,LOC RWY 33,A,109.30MHZ,H24,38°02'44.7"N,015°39'52.3"E,LICR
