Name,Altitude,Latitude,Longitude,Manager,BaseSize,Pavement,Shape
COLASANTE ANTONIO 1,43.0 m,N 42° 10' 37", E 14° 27' 36",D'ALANNO Mario,22 m,Calcestruzzo,Circolare
COLASANTE ANTONIO 2,294.0 m,N 42° 13' 25",E 14° 23' 23" ,D'ALANNO Mario,22 m,Bitume,Circolare
De Cecco Fara 1,371.0 m ,N 42° 5' 59",E 14° 12' 48",DI GIROLAMO Valerio,21.5 m,Calcestruzzo,Circolare
DE CECCO ORTONA,195.0 m,N 42° 17' 51",E 14° 21' 27",DI GIROLAMO Valerio,20.7 m,Calcestruzzo,Circolare
DE CECCOO FARA 2,381.0 m,N 42° 6' 0",E 14° 12' 52",DI GIROLAMO Valerio,20.8 m,Calcestruzzo,Circolare
ELIABRUZZO S.R.L.,336.0 m,N 42° 13' 6",E 13° 12' 50",Di Crescenzo Beniamino,22.5 m,Calcestruzzo,Circolare
ORTONA,195 m,N 42° 17' 52",E 14° 21' 28",Valerio Di Girolamo,21 m,Calcestruzzo,Circolare
OSPEDALE CIVILE (Teramo),296.0 m,N 42° 40' 0",E 13° 43' 1",Ermanno Teseo,30 m,Calcestruzzo,Quadrata
Saturnino De Cecco,165.0 m,N 42° 29' 32",E 14° 9' 21",DE CECCO Saturnino,21 m,Calcestruzzo,Circolare
