AIRWAY,DESIGNATOR,SEQUENCE,LAT,LON,MAX ALTITUDE,MIN ALTITUDE,WIDTH
L50,TUPUP,4,45°13'17''N,007°35'52''E,FL195,FL175,5 NM
L50,TORINO VOR/DME 'TOP',5,44°55'31''N,007°51'42''E,FL195,FL85,5 NM
L50,NEDED,6,44°41'38''N,008°08'26''E,FL195,FL85,5 NM
L50,LAGEN,7,44°23'39''N,008°29'53''E,FL195,FL95,5 NM
L50,ANAKI,8,44°12'04''N,008°43'32''E,FL195,FL95,5 NM
L50,IXITO,9,44°08'05''N,008°48'13''E,FL195,FL95,5 NM
L50,UNITA,10,43°56'40''N,009°01'30''E,FL195,FL85,5 NM
L50,TIDKA,11,43°48'00''N,009°11'31''E,FL195,FL85,5 NM
L50,KONER,12,43°30'17''N,009°31'48''E,FL195,FL85,5 NM
L50,EVROG,13,43°15'16''N,009°48'47''E,FL195,FL85,5 NM
L50,BAKRO,14,43°11'17''N,009°53'15''E,FL195,FL85,5 NM
L50,ELBA VORTAC 'ELB',15,42°43'50''N,010°23'45''E,FL195,FL95,5 NM
L50,ROTIR,16,42°13'09''N,010°47'09''E,FL195,FL95,5 NM
L50,GISPA,17,41°48'19''N,011°20'32''E,FL195,FL95,5 NM
L50,KONUT,18,41°17'34''N,012°01'00''E,FL195,FL95,5 NM
L50,PEPIX,19,41°09'36''N,012°11'19''E,FL195,FL95,5 NM
L50,UNIXO,20,40°46'31''N,012°40'54''E,FL195,FL95,5 NM
L50,ENSOT,21,40°32'00''N,012°59'15''E,FL195,FL95,5 NM

L53,GARGA,1,42°16'00''N,016°07'00''E,FL195,FL125,5 NM
L53,AZHIF,2,41°48'10''N,016°48'09''E,FL195,FL125,5 NM
L53,ENOXA,3,41°12'05''N,017°40'08''E,FL195,FL125,5 NM
L53,OKIMO,4,40°56'02''N,018°02'51''E,FL195,FL125,5 NM
L53,OLGAT,5,40°14'41''N,019°00'00''E,FL195,FL125,5 NM

L81,LUPOS,1,44°30'17''N,010°34'53''E,FL195,FL115,5 NM
L81,OKTAV,2,44°17'08''N,010°53'38''E,FL195,FL115,5 NM
L81,DOBOG,3,44°08'40''N,011°05'37''E,FL195,FL115,5 NM
L81,ALIXI,4,43°57'05''N,011°18'26''E,FL195,FL155,5 NM
L81,GEMVI,5,43°44'52''N,011°32'22''E,FL195,FL155,5 NM
L81,TOMGI,6,43°13'44''N,012°11'21''E,FL195,FL155,5 NM
L81,LORNO,7,42°46'51''N,013°08'02''E,FL195,FL155,5 NM

L127,MIRSA,1,42°49'22''N,009°45'00''E,FL195,FL85,5 NM
L127,ELBA VORTAC 'ELB',2,42°43'50''N,010°23'45''E,FL195,FL85,5 NM
L127,UPADU,3,42°44'47''N,010°44'19''E,FL195,FL85,5 NM

L137,CARAFFA DI CATANZARO VORTAC 'CDC',1,38°45'21''N,016°22'09''E,FL195,FL95,5 NM
L137,GIMEL,2,38°27'42''N,016°03'14''E,FL195,FL95,5 NM
L137,REGGIO CALABRIA DVOR/DME 'RCA',3,38°04'36''N,015°38'43''E,FL195,FL95,5 NM
L137,DIVAR,4,37°46'18''N,015°18'44''E,FL195,FL135,5 NM
L137,NOTRI,5,37°27'22''N,014°58'10''E,FL195,FL145,5 NM
L137,ROMSU,6,37°14'15''N,014°45'20''E,FL195,FL95,5 NM
L137,NELDA,7,36°51'46''N,014°23'34''E,FL195,FL95,5 NM

L146,MOULE,1,42°37'17''N,009°45'00''E,FL195,FL85,5 NM
L146,XOPTA,2,42°38'29''N,009°52'00''E,FL195,FL85,5 NM
L146,ELBA VORTAC 'ELB',3,42°43'50''N,010°23'45''E,FL195,FL85,5 NM
L146,ELKAP,4,42°43'16''N,010°38'39''E,FL195,FL175,5 NM
L146,ROSKI,5,42°42'19''N,011°01'31''E,FL195,FL175,5 NM

L153,ARLES,1,45°55'46''N,008°22'30''E,FL195,FL115,5 NM
L153,IXORA,2,45°50'12''N,008°35'20''E,FL195,FL115,5 NM
L153,SARONNO VOR/DME 'SRN',3,45°38'46''N,009°01'18''E,FL195,FL115,5 NM
L153,ROBAS,4,45°11'37''N,009°43'34''E,FL195,FL85,5 NM
L153,OSBUL,5,44°49'20''N,010°17'36''E,FL195,FL85,5 NM
L153,BEROK,6,44°09'56''N,010°21'06''E,FL195,FL125,5 NM
L153,OLKIS,7,43°55'33''N,010°22'13''E,FL195,FL115,5 NM
L153,PISA VOR/DME 'PIS',8,43°40'36''N,010°23'30''E,FL195,FL115,5 NM
L153,PISA NDB 'PIS',8,43°35'21''N,010°17'49''E,FL195,FL115,5 NM

L612,ADOSA,1,45°38'40''N,011°01'35''E,FL195,FL105,5 NM
L612,UPXUF,2,45°35'30''N,011°08'38''E,FL195,FL105,5 NM
L612,ALBET,3,45°25'36''N,011°30'33''E,FL195,FL105,5 NM
L612,CHIOGGIA VOR/DME 'CHI',4,45°04'16''N,012°16'53''E,FL195,FL65,5 NM
L612,ARDAM,5,44°47'52''N,012°30'21''E,FL195,FL65,5 NM
L612,BELOV,6,44°32'33''N,012°42'48''E,FL195,FL65,5 NM
L612,AMLON,7,44°20'21''N,012°52'35''E,FL195,FL65,5 NM
L612,LANLI,8,43°57'26''N,013°10'50''E,FL195,FL95,5 NM
L612,ANCONA VOR/DME 'ANC',9,43°35'11''N,013°28'16''E,FL195,FL95,5 NM
L612,MASEG,10,43°24'46''N,013°44'58''E,FL195,FL95,5 NM
L612,LAPVO,11,43°20'00''N,013°52'33''E,FL195,FL95,5 NM
L612,NUTRO,12,43°09'36''N,014°08'57''E,FL195,FL95,5 NM
L612,ARSOB,13,42°40'45''N,014°53'46''E,FL195,FL95,5 NM
L612,ERPOG,14,42°28'42''N,015°12'09''E,FL195,FL95,5 NM
L612,RUPAX,15,42°18'03''N,015°28'18''E,FL195,FL65,5 NM
L612,VIESTE VOR/DME 'VIE',16,41°54'46''N,016°02'57''E,FL195,FL65,5 NM
L612,PISIP,17,41°31'49''N,016°38'11''E,FL195,FL95,5 NM
L612,UVOKA,18,41°22'47''N,016°51'49''E,FL195,FL95,5 NM
L612,PIKEL,19,41°11'03''N,017°09'30''E,FL195,FL95,5 NM
L612,DOLON,20,40°53'21''N,017°35'40''E,FL195,FL95,5 NM
L612,KAPPO,21,40°36'39''N,018°00'10''E,FL195,FL95,5 NM
L612,NOSTO,22,39°49'00''N,019°00'00''E,FL195,FL95,5 NM

L613,SUXAN,1,46°33'44''N,010°28'45''E,FL195,FL165,5 NM
L613,DIBAX,2,46°06'59''N,011°03'51''E,FL195,FL165,5 NM
L613,BORMI,3,46°02'10''N,011°10'00''E,FL195,FL165,5 NM
L613,VICENZA VOR/DME 'VIC',4,45°38'14''N,011°40'35''E,FL195,FL115,5 NM
L613,UTAME,5,43°29'02''N,014°13'58''E,FL195,FL95,5 NM
L613,RIVAM,6,42°29'57''N,015°46'22''E,FL195,FL95,5 NM
L613,GARGA,7,42°16'00''N,016°07'00''E,FL195,FL95,5 NM
L613,MUJAC,8,41°55'43''N,016°52'47''E,FL195,FL95,5 NM
L613,LUMAR,9,41°37'07''N,017°33'50''E,FL195,FL95,5 NM
L613,GONOT,10,41°14'00''N,018°23'30''E,FL195,FL95,5 NM
L613,PAPIZ,11,40°53'30''N,018°57'06''E,FL195,FL95,5 NM

L614,OSTEG,1,45°10'43''N,011°08'20''E,FL195,FL95,5 NM
L614,KOPER,2,45°09'14''N,011°38'29''E,FL195,FL95,5 NM
L614,CHIOGGIA VOR/DME 'CHI',3,45°04'16''N,012°16'53''E,FL195,FL95,5 NM
L614,AGOMO,4,45°01'01''N,012°48'07''E,FL195,FL95,5 NM
L614,LABIN,5,44°59'09''N,013°05'29''E,FL195,FL95,5 NM

L615,BANKO,1,45°49'12''N,007°03'17''E,FL305,FL175,5 NM
L615,AOSTA,2,45°47'47''N,007°20'45''E,FL305,FL195,5 NM
L615,TERSI,3,45°47'13''N,007°27'35''E,FL195,FL175,5 NM
L615,OMETO,4,45°44'12''N,008°02'34''E,FL195,FL145,5 NM
L615,BAVMI,5,45°42'13''N,008°24'28''E,FL195,FL105,5 NM
L615,SARONNO VOR/DME 'SRN',6,45°38'46''N,009°01'18''E,FL195,FL105,5 NM
L615,DESIP,7,45°38'45''N,009°07'33''E,FL195,FL105,5 NM
L615,PEXUG,8,45°39'12''N,009°37'46''E,FL195,FL105,5 NM
L615,LEGLO,9,45°39'01''N,009°46'10''E,FL195,FL105,5 NM
L615,OSKOR,10,45°38'57''N,010°07'00''E,FL195,FL105,5 NM
L615,NEVNI,11,45°38'54''N,010°25'21''E,FL195,FL105,5 NM
L615,NOBMI,12,45°38'53''N,010°30'22''E,FL195,FL105,5 NM
L615,ELTAR,13,45°38'51''N,010°37'40''E,FL195,FL105,5 NM
L615,IDREK,14,45°38'46''N,010°49'10''E,FL195,FL105,5 NM
L615,ADOSA,15,45°38'40''N,011°01'35''E,FL195,FL105,5 NM
L615,IBUGO,16,45°38'28''N,011°22'36''E,FL195,FL105,5 NM
L615,VADIK,17,45°38'24''N,011°28'17''E,FL195,FL105,5 NM
L615,VICENZA VOR/DME 'VIC',18,45°38'14''N,011°40'35''E,FL195,FL105,5 NM
L615,AKADO,19,45°20'00''N,012°30'00''E,FL195,FL105,5 NM
L615,TULIK,20,45°17'02''N,012°47'21''E,FL195,FL105,5 NM
L615,ROTAR,21,45°15'46''N,012°59'44''E,FL195,FL105,5 NM

L862,AIOSA,1,41°55'42''N,017°14'54''E,FL195,FL95,5 NM
L862,ENOXA,2,41°12'05''N,017°40'08''E,FL195,FL95,5 NM
L862,KAPPO,3,40°36'39''N,018°00'10''E,FL195,FL95,5 NM

L865,ANCONA VOR/DME 'ANC',1,43°35'11''N,013°28'16''E,FL195,FL95,5 NM
L865,ERLIT,2,43°23'01''N,013°10'02''E,FL195,FL95,5 NM
L865,ERDON,3,43°17'42''N,013°02'12''E,FL195,FL95,5 NM
L865,GOTMO,4,43°12'26''N,012°54'23''E,FL195,FL95,5 NM
L865,KATAR,5,43°03'06''N,012°40'40''E,FL195,FL95,5 NM
L865,GITOD,6,42°48'01''N,012°18'39''E,FL195,FL95,5 NM
L865,RITEB,7,42°41'55''N,012°09'49''E,FL195,FL95,5 NM
L865,GIKIN,8,42°37'06''N,012°02'55''E,FL195,FL95,5 NM
L865,TARQUINIA VOR/DME 'TAQ',9,42°12'54''N,011°43'57''E,FL195,FL95,5 NM
L865,VALMA,10,41°34'38''N,011°25'17''E,FL195,FL95,5 NM
L865,BETOT,11,40°23'09''N,011°37'54''E,FL195,FL95,5 NM

L869,LATAN,1,39°17'36''N,019°00'00''E,FL195,FL95,5 NM
L869,GEMVI,2,39°06'46''N,017°48'19''E,FL195,FL95,5 NM
L869,CROTONE VOR/DME 'CRN',3,38°59'46''N,017°04'59''E,FL195,FL95,5 NM
L869,KOGEB,4,38°50'41''N,016°37'51''E,FL195,FL95,5 NM
L869,CARAFFA DI CATANZARO VORTAC 'CDC',5,38°45'21''N,016°22'09''E,FL195,FL95,5 NM
L869,PEROS,6,38°38'15''N,015°49'13''E,FL195,FL95,5 NM
L869,PAZZE,7,38°34'31''N,015°31'19''E,FL195,FL95,5 NM
L869,PIGER,8,38°32'55''N,015°24'22''E,FL195,FL115,5 NM
L869,BUDIN,9,38°28'35''N,015°04'48''E,FL195,FL115,5 NM
L869,PELEN,10,38°20'05''N,014°27'14''E,FL195,FL95,5 NM
L869,PALERMO/Punta Raisi VOR/DME 'PAL',11,38°02'01''N,013°10'39''E,FL195,FL95,5 NM
L869,TRAPANI VORTAC 'TRP',12,37°53'45''N,012°30'47''E,FL195,FL95,5 NM
L869,LOPKO,13,37°39'58''N,012°10'49''E,FL195,FL95,5 NM
L869,MEGAN,14,37°32'17''N,011°59'46''E,FL195,FL95,5 NM
L869,TUPAL,15,37°11'21''N,011°30'00''E,FL195,FL95,5 NM

L978,GOPAT,1,41°20'00''N,008°26'38''E,FL195,FL95,5 NM
L978,ALGHERO VORTAC 'ALG',2,40°37'41''N,008°14'38''E,FL195,FL95,5 NM

L995,CANNE,1,46°10'00''N,008°52'52''E,FL195,FL135,5 NM
L995,PEPAG,2,45°59'02''N,009°04'17''E,FL195,FL135,5 NM
L995,TREZZO VOR/DME 'TZO',3,45°33'33''N,009°30'25''E,FL195,FL135,5 NM
L995,BEKAN,4,45°19'30''N,009°45'40''E,FL195,FL85,5 NM
L995,MISPO,5,45°01'26''N,010°04'50''E,FL195,FL85,5 NM
L995,OSBUL,6,44°49'20''N,010°17'36''E,FL195,FL85,5 NM
L995,IVLOX,7,44°43'10''N,010°23'13''E,FL195,FL95,5 NM
