ID,Name,Type,Purpose,Freq,OperationalHours,Latitude,Longitude,ICAO
CMP,CAMPAGNANO,TVOR,A,111.40MHZ,H24,42°07'25.8"N,012°22'53.5"E,LIRF
CMP,CAMPAGNANO,DME,A,CH 51X,H24,42°07'25.5"N,012°22'53.2"E,LIRF
PRS,PUNTA RAISI,TVOR,A,113.00MHZ,H24,38°10'19.4"N,013°04'47.6"E,LICJ
PRS,PUNTA RAISI,DME,A,CH 77X,H24,38°10'19.4"N,013°04'47.3"E,LICJ
RCH,RONCHI DEI LEGIONARI,TVOR,AE,114.20MHZ,H24,45°49'47.3"N,013°28'49.0"E,LIPQ
RCH,RONCHI DEI LEGIONARI,DME,AE,CH 89X,H24,45°49'47.7"N,013°28'48.9"E,LIPQ
