ICAO,IDENT,Province,Name,Altitude,Latitude,Longitude,Owner,Radio
MNMED,MNMEDOLE,Mantova,Medole,500,45°20'21"N,10°29'6"E,NULL,030-969385
MNMNN,MNSGIORGIO,Mantova,Mantova Nord,300,45°10'18"N,10°51'27"E,Claudio Spiritelli,0376-411063
MNNOS,MNNOSEDOLE,Mantova,Battistello,330,45°6'32"N,10°59'36"E,Dino Battistello,"0376-664029 / 339-2094796"
MNPEL,MNPELLIZZA,Mantova,Campo Volo Pellizzario,300,45°17'34"N,10°26'48"E,Gian Carlo Frizzi,0376-770410
MNSAB,MNSABBIONE,Mantova,Cianpioppo,350,45°0'54"N,10°30'37"E,Umberto Gandolfi,339-3531612
MNSSV,MNCURTATON,Mantova,Avios. città di Curtatone - S.Silvestro,600,45°6'0"N,10°45'16"E,Sbarbada GianPaolo,"0376-478188 / 0376-365336"
MNSUZ,MNSUZZARA,Mantova,Club La Fenice,250 - 450,45°0'15"N,10°43'6"E,Mirko e Giancarlo,"338-3161356 / 335-6698239"
PVCSA,PVCASTAGOG,Pavia,Avios. La Ceriella,770,45°13'0"N,8°40'0"E,Ferdinando Giardini,335-209975
PVMBI,PVMEZZANAB,Pavia,Avios. Club Astra,900,45°4'3"N,8°50'21"E,Club Astra,"0384-88097 / 337-342286"  
PVROB,PVROBECCOP,Pavia,Arbuschi,320,45°3'0"N,9°9'45"E,Arbuschi,335-8237422
PVSPO,PVSPESSAPO,Pavia,Avios. Speziana,540,45°7'57"N,9°21'36"E,Corbellini,118.050
PVVGB,PVVIGEVBAT,Pavia,Avios. F.Natale-F.Battistoni,450,45°20'5"N,8°49'29"E,Gualtiero Natale,335-6372305
PVVGP,PVVIGEVPIC,Pavia,Vigevano - Piccolini,460,45°19'43"N,8°47'49"E,NULL,NULL
PVVGV,PVVIGEVLEO,Pavia,Avios. Leonardo da Vinci,600,45°17'18"N,8°48'0"E,Gustavo Saurin,348-0202115
PVVLO,PVLOMELLIN,Pavia,Campo volo l'Airone,320,45°9'20"N,8°39'39"E,Capato Doriano,"384-797829 / 335-6889831"
PVZER,PVZERBOLO,Pavia,Campo Volo Luciano Borgonovi,400,45°11'11"N,9°2'42"E,Angelo Trombin,0382-400275
SOSAM,SOSAMOLACO,Sondrio,A.V.L.U.,400,46°14'10"N,9°25'52"E,Vitaliano Canclini,"0341-940549 / 335-6774942"
VACAR,VACARONNOP,Varese,Paramotor Club,250,45°36'25"N,9°1'58"E,Edoardo Serra,347-6883577
VACMO,VACASSANOM,Varese,Az. Agr. Oasi,400,45°41'45"N,8°49'37"E,Renato Conti,0331-217718
VACUV,VACUVIO,Varese,Avios. Mascioni,520,45°54'0"N,8°43'22"E,NULL,NULL
VAORI,VAORIGGIO,Varese,Avios. Airone,360,45°35'25"N,9°0'3"E,Giovanni Cerimede,NULL
