ICAO,IDENT,Province,Name,Altitude,Latitude,Longitude,Owner,Radio
GECER,GECERTENOL,Genova,Càlvari,150,44°22'34"N,9°17'25"E,NULL,NULL
LIMG,SV_ALBENGA,Savona,Aerop. di Albenga,1430,44°2'41"N,8°7'35"E,Aer. Villanova d'Albenga spa / AeC,123.850
LIMJ,GE_SESTRI,Genova,Aerop. di Genova Sestri,2915,44°24'47"N,8°50'16"E,Aeroporto di Genova spa / AeC,118.600
LIQW,SP_SARZANA,La Spezia,Aerop. Sarzana Luni,900,44°5'14"N,9°59'18"E,AeC,119.650
SPBRV,SPBORGHETT,La Spezia,AliVara ULM,250,44°13'37"N,9°43'19"E,Grossi Claudio,NULL
