ID,Name,Type,Purpose,Freq,OperationalHours,Latitude,Longitude,ICAO
GSE,GENOVA/Sestri,DME-P,A,CH 30X,H24,44°24'32.3"N,008°51'11.5"E,LIMJ
IAOS,AOSTA,DME-P,A,CH 34Y,H24,45°44'23.3"N,007°22'29.9"E,LIMW
IBZ,BOLZANO,DME-P,A,CH 28X,H24,46°27'20.6"N,011°19'41.1"E,LIPB
LAM,LAMEZIA TERME,DME-P,A,CH 40X,H24,38°54'08.5"N,016°15'16.7"E,LICA
RAI,PALERMO/Punta Raisi,DME-P,A,CH 32X,H24,38°10'58.9"N,013°07'01.0"E,LICJ
TRA,TRAPANI/Birgi,DME-P,A,CH 46Y,H24,37°54'28.0"N,012°29'44.8"E,LICT
