ICAO,IDENT,Province,Name,Altitude,Latitude,Longitude,Owner,Radio
BZCAS,BZVALCASIE,Bolzano,Valle di Casies,380,46°45'30"N,12°9'20"E,Monguellfo,NULL
LIDT,TN_MATTARL,Trento,Aerop. Trento Mattarello,980,46°1'17"N,11°7'33"E,Trento Mattarello,NULL
LIPB,BZ_BOLZANO,Bolzano,Aerop. Bolzano S.Giacomo,700 - 1300,46°27'37"N,11°19'36"E,ABD spa / AeC,NULL
TNAGN,TNAGNEDO,Trento,Agnedo,340,46°2'41"N,11°32'31"E,Loss,NULL
TNCAV,TNCAVALESE,Trento,Campo Volo VolAvisio,350,46°16'48"N,11°26'57"E,Giorgio Rinaldi,NULL  
TNCDN,TNTERMON,Trento,Termon,330,46°16'15"N,11°1'33"E,Antonello Pidutti,NULL
TNVER,TNVERVO,Trento,Campo volo Vervò,280,46°18'48"N,11°6'42"E,Arturo e Graziano,NULL
