Name,Altitude,Latitude,Longitude,Manager,BaseSize,Pavement,Shape
BASE AEREA PROTEZIONE CIVILE MOLISE,539.0 m,N 41° 28' 30",E 14° 32' 18",SALVATORE Paolo,40.00 m,Calcestruzzo,Quadrata
POIS,206 m,N 41° 30' 2",E 14° 3' 49",Bombonato Marco Maria Antonio Renato,39.00 m,Calcestruzzo,Quadrata
