ICAO,Type,Size,Name,Latitude,Longitude,Elevation(ft),Region,Municipality,IATA
,airport,small,"Aviosuperficie ""Reno Air Club""",44.61269,11.32424,125,Emilia-Romagna,Argelato,
,airport,small,Corte Bariani,45.033228,11.724291,,Veneto,Arquà Polesine (RO),
,airport,small,Aviosuperficie Artena,41.673056,12.845556,649,Lazio,Artena (RM),
,airport,small,Campo di Volo di Vallecamonica,45.855901,10.147571,673,Lombardy,Artogne (BS),
,airport,small,Campo di Volo Castel Caladan,45.461305,9.576677,46,Lombardy,Arzago d'Adda (BG),
,airport,small,Asolo Flight Airfield,45.758333,11.896111,252,Veneto,Asolo (TV),
,airport,small,Aviosuperficie Avola-Gallina,36.945287,15.170774,114,Sicily,Avola (SR),
,airport,small,Azzanello Airfield,45.293845,9.919281,159,Lombardy,Azzanello (CR),
,airport,small,Campo di Volo Ondalba,44.776117,7.879334,1017,Piedmont,Baldissero D'Alba (CN),
,airport,small,Barbarano Mossano Private Airstrip,45.398029,11.549892,-1,Veneto,Barbarano Vicentino,
,airport,small,Alla Colombara Airiield,45.752853,11.6925,328,Veneto,Bassano del Grappa (VI),
,airport,small,"Campo di Volo ""Ali della Libertà""",44.516167,11.100083,,Emilia-Romagna,Bazzano (BO),
,airport,small,Campo di Volo Country Fly,44.503056,7.821667,1350,Piedmont,Bene Vagienna (CN),
LIRO,airport,small,Aviosuperficie Olivola,41.17751,14.74734,,Campania,Benevento (BN),
,airport,small,Al Ranch Airfield,45.923428,13.035592,,Friuli-Venezia Giulia,Bertiolo (UD),
,airport,small,Campo di Volo privato Bigarello,45.170815,10.929061,70,Lombardy,Bigarello (MN),
,airport,small,Aviosuperficie Cosenza,39.527877694699995,16.2298965454,180,Calabria,Bisignano,
,heliport,small,Helibase Pelikan 1,46.497639,11.30527,,Trentino-Alto Adige,Bolzano (BZ),
,airport,small,Campo di Volo Bonsciano,43.355854,12.193534,882,Umbria,Bonsciano (PG),
,airport,small,Campo di Volo AliLafer,45.033682,9.791865,147,Emilia-Romagna,Borghetto (PC),
,airport,small,Aviosuperficie Condor,41.415,12.979444,56,Lazio,Borgo San Michele (LT),
,airport,small,Aviosuperficie Il Picchio,45.708667,8.595667,699,Piedmont,Borgo Ticino (NO),
,airport,small,San Felice-Trichiana Airfield,46.084723,12.121052,984,Veneto,Borgo Valbelluna (BL),
,airport,small,Bracciano Air Base,42.0822,12.07459,,Lazio,Bracciano,
,airport,small,Campo di volo S.Elia (Buccino),40.658381,15.335616,,(unassigned),Buccino (SA),
,airport,small,Aviosuperficie Loelle,40.5701667,9.3173667,2598,Sardinia,Buddusò (SS),
,airport,small,Campo di Volo La Torretta,44.99341,10.060065,118,Emilia-Romagna,Busseto (PR),
,airport,small,Că Mantovane Airfield,45.239484,10.889615,111,Lombardy,Că Mantovane (MN),
LIDC,airport,small,Cà Negra Airport,45.08300018310547,12.149999618530273,1,Veneto,Cà Negra,
,airport,small,San Marco Volo Airfield,45.771043,11.996559,348,Veneto,Caerano San Marco (TV),
,airport,small,Campo di Volo Rains,41.146,14.338803,97,Campania,Caiazzo (CE),
,airport,small,Casa Bianca Model Airfield,45.466596,10.347943,,Lombardy,Calcinato (BS),
,airport,small,Bosco di Mezzo Airfield (CTCAL),37.1523,14.59928,1306,Sicily,Caltagirone (CT),
,airport,small,"Campo di Volo ""Aquila Solitaria""",37.42709,14.02916,,Sicily,Caltanissetta,
,airport,small,La Zappaglia Airfield,45.326746,10.378411,216,Lombardy,Calvisano (BS),
,airport,small,Aviosuperficie La Celsetta,42.121667,12.360556,722,Lazio,Campagnano (RM),
,airport,small,Campo di Volo Campiglia,43.019437,10.594659,16,Tuscany,Campiglia Marittima,
,airport,small,Aviosuperficie Club Ibis,43.022522,10.61157,49,Tuscany,Campiglia Marittima (LI),
,airport,small,Volo Molise,41.45948,14.53799,1738,Molise,Campochiaro (CB),
,airport,small,Base Aerea Molise,41.474462,14.537457,1669,Molise,Campochiaro (CB),
,airport,small,Termon Altiport,46.270833,11.025833,2231,Trentino-Alto Adige,Campodenno (TN),
,airport,small,Campo Volo Vicari (PACAM),37.800747,13.52314,995,Sicily,Campofelice di fitalia,
,airport,small,Campo di Volo Campogalliano,44.70355,10.85416,118,Emilia-Romagna,Campogalliano,
,airport,small,Pegaso Airfield,45.318282,12.056959,,Veneto,Campolongo Maggiore (VE),
,airport,small,Arcora Flying Field,41.94428,15.04761,,Molise,Campomarina,
,airport,small,Campo di Volo I Quattro Cantoni,44.8030556,11.138333,,Emilia-Romagna,Camposanto (MO),
,airport,small,Aviosuperficie Aretusa Fly,37.03741,15.09536,1012,Sicily,Canicattini Bagni,
,airport,small,Campo volo Val Triversa,44.906894,8.034096,574,Piedmont,Cantarana (AT),
,airport,small,Aviosuperficie Templare Paestum,40.472649,14.959581,,Campania,Capaccio (Laura),
,airport,small,"Campo di Volo ""Oasi da Peppe""",40.4525,15.001389,16,Campania,Capaccio (SA),
,airport,small,Campo di Volo Selva Negra,42.406825,11.396192,,Tuscany,Capalbio,
,airport,small,Aviosuperficie Roma-Nord,42.119945,12.604453,78,Lazio,Capena (RM),
,airport,small,Campo di Volo Capo d'Orlando,38.126421,14.707904,16,Sicily,Capo d'Orlando (ME),
,airport,small,Campo di Volo Careas,45.50668,9.66814,,Lombardy,Caravaggio (BG),
,airport,small,ASD Salento Fly,40.35,18.0611111,60,Apulia,Carmiano (LE),
,airport,small,Aviosuperficie Minotaurus e Medusa,38.049105,14.541306,13,Sicily,Caronia,
,airport,small,Willy il Coyote Airfield,44.771828,10.832155,88,Emilia-Romagna,Carpi (MO),
,airport,small,"Aviosuperficie ""Il Pratone""",42.093703,13.042332,1893,Abruzzi,Carsoli (AQ),
,closed,closed,Banana Airfield,45.597525,12.30855,6,Veneto,Casale sul Sile (TV),
,airport,small,Campo di Volo Aeroteam,45.4362801,8.5770435,,Piedmont,Casalgiate (NO),
,airport,small,"Campo di Volo ""Ass.Sp.Volo Leggero""",45.261776,11.192901,62,Veneto,Casalino Isola Rizza (VR),
,airport,small,Campo di Volo Santa Rita,42.75654,13.01628,2900,Umbria,Cascia (PG),
,airport,small,"Campo di Volo ""Air Folies""",45.53297,8.90103,558,Lombardy,Casorezzo (MI),
,airport,small,Campo di Volo Oasi,45.696556,8.826948,980,Lombardy,Cassano Magnago (VA),
,airport,small,Cassola Airfield,45.741308,11.806548,321,Veneto,Cassola (VI),
,airport,small,"Campo volo ""Il Laghetto""",44.777333,8.1295,450,Piedmont,Castagnole Lanze (AT),
,airport,small,Campo di Volo Pellizzario,45.2927778,10.4466667,140,Lombardy,Castel Goffredo (MN),
,airport,small,"Campo di Volo ""Club Deltasport""",44.653559,10.991591,,Emilia-Romagna,Castelfranco Emilia (MO),
,airport,small,Campo di Volo Medole,45.339031,10.480944,230,Lombardy,Castelgoffredo (MN),
,airport,small,Club Volo Ultraleggeri del Canavese,45.358333,7.719722,853,Piedmont,Castellamonte (TO),
,airport,small,Aviosuperficie Castellazzo,44.6833333,10.7397222,141,Emilia-Romagna,Castellazzo,
,airport,small,"Aviosuperficie privata ""La Ceriella""",45.220143,8.659543,,Lombardy,Castello d'Agogna (PV),
,airport,small,Ali Libere,42.829833,12.683383,,Umbria,Castelritaldi (PG),
,airport,small,Campo di Volo Valbelice,37.674242,12.774611,541,Sicily,Castelvetrano (TP),
,airport,small,Aviosuperficie Antica Sardegna,39.270695,9.538871,206,Sardinia,Castiadas (CA),
,airport,small,Campo di Volo Ciannocio,43.122253,11.920488,826,Umbria,Castiglione del Lago (PG),
,airport,small,Conca del Re,39.853525,16.197045,,Calabria,Castrovillari (CS),
,airport,small,VolAvisio Airfield,46.27888,11.44837,2820,Trentino-Alto Adige,Cavalese (TN),
,airport,small,"Campo di Volo ""Cavaliere d'Italia""",45.156334,12.110272,1,Veneto,Cavarzere (VE),
,airport,small,Aviosuperficie Aero Club Valdarno S.C.U.V.,43.53084,11.473086,1131,Tuscany,Cavriglia (AR),
,airport,small,Aviosuperficie Pegaso Flying Club,41.541847,13.370451,360,Lazio,Ceccano (FR),
,airport,small,Campo di Volo Giovanni Zaccini,41.560349,13.34412,492,Lazio,Ceccano (FR),
LIQG,airport,small,Aviosuperficie Cecina,43.2844444,10.5227778,,Tuscany,Cecina,
,airport,small,Esperti Airfield,40.480095,17.885069,196,Apulia,Cellino San Marco (BR),
,airport,small,La Canonica Airfield,45.635467,12.340599,,Veneto,Cendon di Silea (TV),
,airport,small,Ceresara Airfield,45.263695,10.582549,138,Lombardy,Ceresara (MN),
,airport,small,Cerreto Castello,45.548056,8.161111,1000,Piedmont,Cerreto Castello (BI),
,airport,small,"Campo di Volo ""Valerio Glorialanza""",44.376111,9.290278,49,Liguria,Certenoli,
,airport,small,Campo di Volo Sangermano,41.991555,12.13791,337,Lazio,Cerveteri (RM),
,airport,small,Chiasiellis Airfield,45.944928,13.208403,118,Friuli-Venezia Giulia,Chiasiellis (UD),
,airport,small,"Campo di Volo ""Gli Acquilotti""",45.138,12.2334,1,Veneto,Chioggia (VE),
,airport,small,Aviosuperficie Club Chiusdino,43.191012,11.143076,918,Tuscany,Chiusdino (SI),
,airport,small,Campo di Volo Chiusi Scalo,42.972564,11.944301,,Tuscany,Chiusi Scalo,
,airport,small,Ali Friuli Airfield,46.056493,13.426248,370,Friuli-Venezia Giulia,Cividale del Friuli (UD),
,airport,small,CdV Colibri,42.3008333,12.3797222,,Lazio,Civita Castellana (VT),
,airport,small,"Aviosuperficie ""Villa Selva Air Park""",42.79277,13.75146,551,Abruzzi,Civitella del Tronto (TE),
,airport,small,La Fattoria Airfield,45.291762,12.075799,6,Veneto,Codevigo (PD),
,airport,small,Butterfly 2 Airfield,45.85255,12.45734,52,Veneto,Codognè (TV),
,airport,small,"Campo di Volo ""Il Gruccione""",43.605515,10.411837,15,Tuscany,Collesalvetti (LI),
,airport,small,Aviosuperficie Sorvoliamo,37.0084558926,14.5951116085,722,Sicily,Comiso,
,airport,small,Arca-Bessica Airfield,45.74325,11.83564,276,Veneto,Comunella (TV),
,airport,small,Campo di Volo Sturaro,45.1963889,12.0688889,10,Veneto,Cona (VE),
,airport,small,"Campo di Volo ""Banda Bassotti""",44.924444,11.05,36,Emilia-Romagna,Concordia sulla Secchia,
,closed,closed,"CdV ""38 N Fly Zone""",37.9458,15.8836,160,Calabria,Condofuri Marina,
,airport,small,Aviosuperficie Borgo Castelvecchio,43.0093333,11.7334667,1007,Tuscany,Contignano (SI),
,airport,small,Aviosuperficie Santa Bruna,42.382873,12.344158,859,Lazio,Corchiano (VT),
,airport,small,Campo di Volo Cordovado,45.83657,12.892801,,Friuli-Venezia Giulia,Cordovado (PN),
,airport,small,Aviosuperficie Corfinio,42.109588,13.84213,1181,Abruzzi,Corfinio (AQ),
,airport,small,Aviosuperficie Cornegliano,45.288893,9.491832,,Lombardy,Cornegliano Laudense (LO),
,airport,small,Campo di Volo Ali del Chienti,43.260263,13.518618,390,Marche,Corridonia (MC),
,airport,small,Skydive Iseo,45.81514,10.09552,,Trentino-Alto Adige,Costa Volpino,
,airport,small,Aviosuperficie Massarotti,37.190835,14.550211,1352,Sicily,Costabaira,
,airport,small,Aviosuperficie Franca,39.189857,16.670637,4393,Calabria,Cotronei (KR),
,airport,small,"Campo di Volo ""Creva Air Club""",44.737333,11.183633,29,Emilia-Romagna,Crevalcore (BO),
,airport,small,Campo di Volo Privato Curtatone,45.112207,10.705383,,Lombardy,Curtatone (MN),
,closed,closed,Aviosuperficie Mascioni,45.899167,8.71735,898,Lombardy,Cuvio (VA),
,airport,small,"Aviosuperficie ""Sa Doda""",39.361731,8.868309,88,Sardinia,Decimoputzu (CA),
,airport,small,Aviosuperficie Dorgali,40.348344,9.547495,587,Sardinia,Dorgali,
,airport,small,"Campo di Volo ""Avioclub Elice""",42.49048,13.995545,262,Abruzzi,Elice (PE),
,airport,small,Empoli Airstrip,43.72512,10.98294,82,Tuscany,Empoli,
,airport,small,Zampieri Airfield,46.404329,12.88536,3281,Friuli-Venezia Giulia,Enemonzo (UD),
,airport,small,"Aviosuperficie ""Cascina Valentino""",44.6975,7.401944,280,Piedmont,Envie (CN),
,airport,small,Aviosuperficie F. Rossi,43.34,12.826944,1348,Marche,Fabriano,
,airport,small,Campo di volo Alino,46.221329,11.169695,1729,Trentino-Alto Adige,Faedo,
,airport,small,Campo di Volo Felonica,44.9666667,11.3541667,,Lombardy,Felonica (MN),
,airport,small,Campo di Volo Alicocco,41.655,13.226389,190,Lazio,Ferentino (FR),
,airport,small,"Campo di Volo ""Il Grifo""",41.671186,13.278646,,Lazio,Ferentino (FR),
,airport,small,Aviosuperficie Tucano,42.132373,12.627056,75,Lazio,Fiano Romano (RM),
,airport,small,Aviosuperficie Fiano Romano,42.1447222,12.6333333,98,Lazio,Fiano Romano (RM),
,airport,small,Aviosuperficie Stella,44.95094,11.62722,6,Veneto,Fiesso Umbertiano (RO),
,airport,small,"Campo di Volo ""Fly and Go""",41.344754,15.526474,416,Apulia,Foggia (FG),
,airport,small,Campo di Volo Amyclae,41.314204,13.345913,1,Lazio,Fondi (LT),
,airport,small,Obiettivo Volare Aeroclub,44.888828,10.15991,141,Emilia-Romagna,Fontanellato (PR),
,airport,small,Campo di Volo Villafranca,44.291111,12.026111,100,Emilia-Romagna,Forlì,
,airport,small,Pranovi Airfield,45.371835,12.037153,1,Veneto,Fossò (VE),
,airport,small,Campo di Volo La Strozza,44.894653,11.669125,,Emilia-Romagna,Francolino (FE),
,airport,small,Campo Volo Falchi della Baraggia,45.446736,8.191519,150,Piedmont,fraz. SAN DAMIANO,
,airport,small,"Campo di Volo ""Sky Ufita""",41.046165,15.121532,1148,Campania,Frigento (AV),
LIRH,airport,small,Frosinone Air Base,41.6464,13.2998,,Lazio,Frosinone,
LIAR,airport,small,Furbara Air Base,41.994532,12.0135,,Lazio,Fubara,
,airport,small,Aviocaipoli Airfield,41.891615,12.783311,558,Lazio,Gallicano nel Lazio (RM),
,airport,small,Ali Venete Airfield,45.664881,11.807449,164,Veneto,Galliera Veneta (PD),
,airport,small,Gallipoli Flying Field,40.016111,18.023889,,Apulia,Gallipoli (LE),
,airport,small,Aviosuperficie Gattinara,45.605662,8.324289,922,Piedmont,Gattinara (VC),
,airport,small,Aviosuperficie Airone,37.113977,14.214206,82,Sicily,Gela,
,airport,small,Campo di Volo MedFly,37.1055,14.220061,85,Sicily,Gela (CL),
,airport,small,Campo di Volo Club Aeronautico Gela,37.11314,14.18929,,Sicily,Gela (CL),
,airport,small,Trike Team Cormorano,37.0994444,14.17,,Sicily,Gela (CL),
,airport,small,Campo di Volo Sardegna,39.621944,9.101944,1118,Sardinia,Gesico (CA),
,airport,small,Campo di Volo Natile,40.59059,16.769,974,Apulia,Ginosa (TA),
,airport,small,Campo di Volo UFO,41.512595,13.283537,301,Lazio,Giuliano di Roma (FR),
,airport,small,Campo di Volo Avioclub Ereo (CT07),37.19222,14.613297,1483,Sicily,Grammichele (CT),
,airport,small,Grave di Papadopoli Jonathan Field,45.783887,12.316765,141,Veneto,Grave di Papadopoli (TV),
,airport,small,Aviosuperficie Grecciano,43.628814,10.482438,6,Tuscany,Grecciano (LI),
,airport,small,Aviosuperficie Terra del Sole,42.775534,11.157271,50,Tuscany,Grosseto,
,airport,small,Aviosuperficie Grumento Nova,40.27009,15.91363,2007,Basilicata,Grumento Nova,
,airport,small,Aviosuperficie del Sagrantino,42.890278,12.533056,900,Umbria,Gualdo Cattaneo (PG),
,airport,small,Campo di Volo San Terenziano,42.85723,12.473179,1679,Umbria,Gualdo Cattaneo (PG),
,airport,small,Aviosuperficie Ali Umbre,43.27045,12.7422267,,Umbria,Gualdo Tadino (PG),
,airport,small,"Campo di Volo ""Aligubbio""",43.3173,12.5731,1377,Umbria,Gubbio (PG),
,airport,small,Aviosuperficie Vraglia,44.413209,11.747288,,Emilia-Romagna,Imola (BO),
,airport,small,K-Fly Flying Field,41.91128,15.81102,16,Apulia,Ischitella (FG),
,airport,small,Campo di Volo Aliveneta,45.250934,11.036059,75,Veneto,Isola della Scala (VR),
,airport,small,Campo di Volo Squadra Avvoltoi,45.241525,11.004096,,Veneto,Isola della Scala (VR),
,airport,small,Campo di Volo Aerdomus,41.9419444,12.1402778,98,Lazio,Ladispoli,
,airport,small,Aviosuperficie Falcone,41.101343,15.871805,495,Basilicata,Lavello (PZ),
LINL,airport,small,Lecce-San Cataldo Lepore Airfield,40.35974,18.297923,59,Apulia,Lecce (LE),
LINK,airport,small,Fondone Airfield,40.355883,18.232425,130,Apulia,Lecce (LE),
,airport,small,Ali di Classe Airfield,44.322803,12.308312,3,Emilia-Romagna,Lido di Classe (RA),
,airport,small,Volturno Fly Aviosuperficie,41.1575,14.3669444,63,Campania,Limatolo,
,airport,small,Le Panizze Airfield,45.419359,10.557346,337,Lombardy,Lonato (BS),
,airport,small,"Campo di Volo ""Il Pioniero""",45.083889,11.661667,36,Veneto,Lusia (RO),
,airport,small,Aviosuperficie Maccagno,44.42381,7.45917,,Piedmont,Maccagno (CN),
,airport,small,Campo di Volo Molinella,43.121511,12.20585,790,Umbria,Magione (PG),
,airport,small,Montemelino Airfield,43.103,12.253,731,Umbria,Magione (PG),
,airport,small,Aviosuperficie Maletto Fly,37.845756,14.869846,2756,Sicily,Maletto (CT),
,airport,small,"Campo di Volo ""Flying Buttero""",42.517352,11.319137,49,Tuscany,Manciano (GR),
,airport,small,Aviosuperficie Aerotre,40.449715,17.623776,256,Apulia,Manduria (TA),
,airport,small,"Campo di Volo ""Maraclub Icamar""",39.278216,9.25674,288,Sardinia,Maracalagonis,
,airport,small,Campo di Volo Elpifly,36.810908171,14.5447719097,220,Sicily,Marina di Ragusa,
,airport,small,"Campo di Volo ""Peter Pan""",42.97179,12.37247,574,Umbria,Marsciano (PG),
,closed,closed,Martina Franca Air Force Base,40.700001,17.333,1467,Apulia,Martina Franca,
,airport,small,Padova South Airfield,45.325086,11.872916,,Veneto,Maserà di Padova (PD),
,airport,small,Campo di Volo Vivoli,42.992253,10.806534,196,Tuscany,Massa Marittima (GR),
,airport,small,Torre Sant'Andrea Airfield,40.247662,18.436303,72,Apulia,Melendugno (LE),
,airport,small,Aviosuperficie Terranova,37.576624,12.944491,9,Sicily,Menfi,
,airport,small,"Private Ultralight Field ""Achille""",43.99883,12.10792,,Emilia-Romagna,Mercato Saraceno,
,airport,small,Campo di Volo Camemi,37.263261,14.626579,361,Sicily,Mineo (CT),
,airport,small,Volopuro,45.56399,8.54139,,Lombardy,Momo (NO),
,airport,small,Ali dello Stilaro Flying Field,38.424516,16.551874,,Calabria,Monasterace (RC),
,airport,small,"Campo di Volo Lucchina Fly Club""",45.3236111,8.0008333,951,Piedmont,Moncrivello,
,airport,small,Gsiesertal / Valle di Casies,46.7657842,12.1556392,,Trentino-Alto Adige,Monguelfo (BZ),
,airport,small,Campo di Volo Paretano Fly,40.82218,17.285711,1030,Apulia,Monopoli,
,airport,small,"Campo di Volo ""Da Domenico""",45.232351,11.797808,13,Veneto,Monselice (PD),
,airport,small,Campo di Volo Montalto di Castro,42.362738,11.656572,49,Lazio,Montalto di Castro (VT),
,airport,small,Montebelluna Airfield,45.748181,12.057152,275,Veneto,Montebelluna (TV),
,airport,small,Campo di Volo Cà Virginia,43.819065,12.677191,,Marche,Montecalvo in Foglia (PS),
,airport,small,Aviosuperficie Santa Anna,43.366053,13.457496,393,Marche,Montecassiano (MC),
,airport,small,Campo di Volo Montefalco,42.885358,12.693324,695,Umbria,Montefalco (PG),
,airport,small,Campo di Volo Montefano,43.42075,13.39928,249,Marche,Montefano (MC),
,closed,closed,Montegaldella Airfield,45.443407,11.651087,,Lombardy,Montegaldella (VI),
,airport,small,"Campo di Volo ""Fly Sabina""",42.1166667,12.7080556,,Lazio,Montelibretti,
,airport,small,Aviosuperficie Valcesano,43.70202,13.075323,167,Marche,Monteporzio (PS),
,airport,small,"Campo di Volo ""Cab Club""",45.057833,8.066817,764,Piedmont,Montiglio,
,airport,small,AS77 Airfield,45.961084,13.204394,,Friuli-Venezia Giulia,Mortegliano (UD),
,airport,small,Costa del Monte Flying Field,42.733207,13.891703,498,Abruzzi,Mosciano Sant'Angelo (TE),
,airport,small,Agriturismo Turus Airfield,45.923709,13.541016,177,Friuli-Venezia Giulia,Mossa (GO),
,airport,small,Musciano Private Airstrip,43.66433,10.72981,,Tuscany,Musciano,
,airport,small,Aviosuperficie S.Chiara,40.320012,17.812786,,Apulia,Nardo' (Santa Chiara),
,airport,small,"Campo di Volo ""Palazzone di Narni""",42.536609,12.553635,360,Umbria,Narni (TR),
,airport,small,Campo di Volo Calledro,42.464848,12.428715,190,Umbria,Narni (TR),
,airport,small,Aviosuperficie Carocci,42.247516,12.308311,784,Lazio,Nepi (VT),
,airport,small,Aviosuperficie Umiltà,42.192111,12.331621,787,Lazio,Nepi (VT),
,airport,small,Aviosuperficie Ali Nettuno,41.503775,12.701976,200,Lazio,Nettuno,
,airport,small,Aviosuperficie ARMA,41.464661,12.746693,59,Lazio,Nettuno (RM),
,airport,small,Beppe Rascaglia Flying Field,38.515556,15.942222,,Calabria,Nicotera (RC),
,airport,small,Campo di Volo Niscemi Parisi (CLNIS),37.163224,14.445664,1224,Sicily,Niscemi,
,airport,small,Pica Airfield,42.696389,13.916985,246,Abruzzi,Notaresco (TE),
,airport,small,Aviosuperfice Eloro,36.85641,15.08021,,Sicily,Noto (SR),
,airport,small,Campo di Volo Chatelair,45.74,7.480556,1500,Valle d'Aosta,Nus (AO),
,airport,small,Campo di Volo Collerotondo,42.289182,13.745423,1345,Abruzzi,Ofena,
,closed,closed,"Campo di Volo ""Girasole Vola""",39.956667,9.645278,30,Sardinia,Ogliastra,
,airport,small,Aviosuperficie La Smeraldina,41.05793,9.433446,,Sardinia,Olbia (OT),
,airport,small,Aviosuperficie Costa d'Argento,42.495016,11.238771,,Tuscany,Orbetello,
,airport,small,Campo di Volo AliPuglia,40.474421,17.609926,344,Apulia,Oria (BR),
,airport,small,Campo di Volo Linnarta,40.412091,9.723621,210,Sardinia,Orosei (NU),
LIKH,airport,small,Rivoli Avro Airfield,46.233786,13.072443,557,Friuli-Venezia Giulia,Osoppo (UD),
,airport,small,campo di volo privato masseria Antelmi,40.775846,17.591987,,Apulia,Ostuni,
,airport,small,Dune Airpark,40.794151,17.491959,,Apulia,Ostuni (BR),
,airport,small,Aviosuperficie Ocria,42.427255,12.457864,147,Umbria,Otricolo/Orte,
,airport,small,Ozzano private airfield,45.12039,8.35202,,Piedmont,Ozzano Monferrato,
,airport,small,Aviosuperficie Fly Team Paceco (TPPAC),37.960022,12.615416,217,Sicily,Paceco,
,closed,closed,Campo di Volo Pachino Fly Dream,36.726571,15.033717,23,Sicily,Pachino (SR),
,airport,small,campo di volo Pian Mune',44.6458,7.244931,4905,Piedmont,paesana,
,airport,small,Campo di Volo Palosco,45.600679,9.821166,547,Lombardy,Palosco (BG),
,closed,closed,Volo Libero Carnia Airfield,46.524053,13.004055,,Friuli-Venezia Giulia,Paluzza (UD),
,airport,small,Aviosuperficie Panicarola,43.064444,12.100556,902,Umbria,Panicale (PG),
,airport,small,Aviosuperficie Pantalla,42.871167,12.383417,486,Umbria,Pantalla (PG),
,airport,small,Pasiano Airfield,45.832273,12.593565,19,Friuli-Venezia Giulia,Pasiano (PN),
,airport,small,Aviosuperficie Arcadia,45.501483,10.788964,,Veneto,Pastrengo (VR),
,airport,small,Campo volo Eagles (CTPAT),37.520917,14.846016,361,Sicily,Paternò,
,airport,small,Fly Evolution Flying Field,45.981982,13.306923,187,Friuli-Venezia Giulia,Pavia di Udine (UD),
,airport,small,Aviosuperficie Pratello,43.55402,10.752517,173,Tuscany,Peccioli (PI),
,airport,small,Aviosuperficie Aliquirra,39.678,9.46299,,Sardinia,Perdasdefogu (OG),
,airport,small,Ali Piacenza Airfield,45.030556,9.605556,213,Emilia-Romagna,Piacenza (PC),
,airport,small,Aviosuperficie Alpi Marittime,44.391111,7.725556,1457,Piedmont,Pianfei (CN),
,airport,small,Campo di Volo Pietralunga,43.450539,12.401383,2263,Umbria,Pietralunga (PG),
,airport,small,Campo di Volo Marano,37.386467,14.143471,400,Sicily,Pietraperzia (EN),
,airport,small,Campo di Volo Phoenix,44.74714,11.34161,39,Emilia-Romagna,Pieve di Cento (BO),
,airport,small,Aviosuperficie Megolo,45.996254,8.303132,709,Piedmont,Pieve Vergonte,
,airport,small,Aviosuperficie Pantano,40.56167,15.7599,2625,Basilicata,Pignola,
,airport,small,Andrea Bozzo Airfield,44.863742,7.407068,984,Piedmont,Pinerolo Buriasco (TO),
,airport,small,Aviosuperficie di Meggiana,45.747211,8.040075,5344,Piedmont,Piode (VC),
,airport,small,Enrico Mattei Airfield,40.431896,16.5538,180,Basilicata,Pisticci (MT),
,airport,small,Pisticci Flying Field,40.399699,16.636972,,Basilicata,Pisticci (MT),
,airport,small,Aviosuperficie L'Aquila,42.300878,13.517175,1873,Abruzzi,Poggio Picenze (AQ),
,airport,small,Campo di Volo Volare Un Po ULM,45.016807,10.09893,100,Emilia-Romagna,Polesine Zibello,
,airport,small,Policoro Saline Flying Field,40.216161,16.731721,,Basilicata,Policoro (MT),
,airport,small,Pegaso Club 2000,41.35775,13.149013,,Lazio,Pontinia (LT),
,airport,small,Campo di Volo Pontinia Eagles,41.372995,13.136783,,Lazio,Pontinia (LT),
,airport,small,Campo di Volo Avio Pontina Fly,41.380947,13.180648,16,Lazio,Pontinia (LT),
,airport,small,Campo di Volo Platamona,40.813333,8.470278,26,Sardinia,Porto Torres (SS),
,closed,closed,Campo di Volo Verginese,44.690633,11.762535,,Emilia-Romagna,Portomaggiore (FE),
,airport,small,Campo di Volo San Sisto,44.847258,10.505502,98,Emilia-Romagna,Poviglio (RE),
,airport,small,Aviosuperficie Tabularia,44.84975,10.5662204,,Emilia-Romagna,Poviglio (RE),
,airport,small,Always Airfield,46.133883,13.278224,344,Friuli-Venezia Giulia,Povoletto (UD),
,airport,small,"Campo di Volo ""Il Volo""",40.421944,8.686667,,Sardinia,Pozzomaggiore (SS),
,airport,small,"Aviosuperficie ""Colli Euganei""",45.203258,11.793658,13,Veneto,Pozzonovo,
,airport,small,CdV Ass.Sp. Parvolo,45.815556,12.752222,16,Veneto,Pramaggiore,
,airport,small,Aviosuperficie Pravisdomini,45.824167,12.685278,,Friuli-Venezia Giulia,Pravisdomini (PN),
,airport,small,Campo di Volo Mantovana,44.728086,8.595741,738,Piedmont,Predosa (AL),
,airport,small,San Mauro Airfield,46.068333,13.366883,351,Friuli-Venezia Giulia,Premariacco (UD),
,airport,small,Monticchio Airfield,40.377022,17.386017,124,Apulia,Pulsano (TA),
,airport,small,Aviosuperficie I Pinguini,43.87137,10.94651,,Tuscany,Quarrata (PT),
,airport,small,Aviosuperficie Ramacca,37.390652,14.620249,524,Sicily,Ramacca,
,airport,small,Aviosuperficie Vallesanta,42.427317,12.805221,1246,Lazio,Rieti (RI),
,airport,small,"Campo di Volo ""Arbuschi""",45.05,9.1625,223,Lombardy,Robecco Pavese (PV),
,airport,small,"Campo di Volo ""Piana 5 Miglia""",41.879201,14.011133,4127,Abruzzi,Roccapia (AQ),
,airport,small,Giardini di Corcolle Airfield,41.900476,12.741902,324,Lazio,Roma,
,airport,small,Roma East Airfield,41.914691,12.769538,387,Lazio,Roma,
,airport,small,Aviosuperficie Ali Calabria,38.619603,15.955968,1870,Calabria,Rombiolo,
,airport,small,"Campo di Volo ""Rovasenda 2000""",45.5444444,8.2791667,787,Piedmont,Rovasenda,
,airport,small,Aviosuperficie Rovigo,45.031167,11.823667,22,Veneto,Rovigo (RO),
LISB,airport,small,Aviosuperficie Sabaudia,41.333611,13.021389,66,Lazio,Sabaudia (LT),
